datetime,temperature,precipitation_total,wind_speed,cloud_cover_total,sunshine_duration
2023-04-10 15:00:00,17.500246,0.0,9.686609,85.0,8.48485
2023-04-10 16:00:00,17.330246,0.0,6.8777895,95.0,2.4242413
2023-04-10 17:00:00,16.290245,0.0,6.4096174,98.0,0.6060612
2023-04-10 18:00:00,15.490245,0.0,8.161764,93.0,3.6363637
2023-04-10 19:00:00,14.360246,0.0,8.4963045,95.0,0.5622893
2023-04-10 20:00:00,13.710245,0.0,7.9036193,94.0,0.0
2023-04-10 21:00:00,13.980246,0.0,9.114471,89.0,0.0
2023-04-10 22:00:00,14.260245,0.0,12.413476,71.0,0.0
2023-04-10 23:00:00,14.580245,0.0,16.363178,80.0,0.0
2023-04-11 00:00:00,14.520246,0.2,17.057314,98.0,0.0
2023-04-11 01:00:00,13.620245,0.4,16.075521,90.0,0.0
2023-04-11 02:00:00,13.210245,0.4,14.654254,83.0,0.0
2023-04-11 03:00:00,12.3102455,0.7,15.646544,87.0,0.0
2023-04-11 04:00:00,11.610246,1.5,15.546833,87.0,0.0
2023-04-11 05:00:00,10.690246,0.4,14.84318,92.0,0.8602695
2023-04-11 06:00:00,10.140245,0.3,12.0694,100.0,0.0
2023-04-11 07:00:00,9.960245,0.5,10.105681,95.0,2.4242413
2023-04-11 08:00:00,9.790245,0.4,11.726277,82.0,10.30303
2023-04-11 09:00:00,10.240245,0.2,13.661038,77.0,13.333332
2023-04-11 10:00:00,11.280245,0.0,14.578888,47.0,31.51515
2023-04-11 11:00:00,11.870245,0.0,17.057314,39.0,36.36364
2023-04-11 12:00:00,12.570246,0.0,16.808569,80.0,11.515152
2023-04-11 13:00:00,13.030245,0.0,15.273505,67.0,19.393942
2023-04-11 14:00:00,13.370245,0.1,12.849528,95.0,2.4242413
2023-04-11 15:00:00,13.570246,0.1,11.726277,97.0,1.2121224
2023-04-11 16:00:00,13.270246,0.1,9.793058,98.0,0.6060612
2023-04-11 17:00:00,12.590245,0.1,3.8268526,97.0,1.2121224
2023-04-11 18:00:00,11.300245,0.2,2.8116899,99.0,0.0
2023-04-11 19:00:00,10.520246,0.3,2.5455842,99.0,0.0
2023-04-11 20:00:00,10.110246,0.2,4.896529,100.0,0.0
2023-04-11 21:00:00,9.600245,0.1,6.28713,100.0,0.0
2023-04-11 22:00:00,9.250245,0.2,7.172949,100.0,0.0
2023-04-11 23:00:00,8.780245,0.3,8.225035,100.0,0.0
2023-04-12 00:00:00,8.570246,0.3,7.2,100.0,0.0
2023-04-12 01:00:00,8.360246,1.3,7.386582,99.0,0.0
2023-04-12 02:00:00,8.120246,1.2,7.2,100.0,0.0
2023-04-12 03:00:00,8.200246,0.3,7.10031,100.0,0.0
2023-04-12 04:00:00,8.420245,0.4,8.39657,97.0,0.0
2023-04-12 05:00:00,8.870245,0.4,8.707237,98.0,0.14242439
2023-04-12 06:00:00,9.540245,1.3,8.557102,97.0,1.2121224
2023-04-12 07:00:00,10.300245,2.1,8.654986,100.0,0.0
2023-04-12 08:00:00,11.170245,0.2,9.36,97.0,1.2121224
2023-04-12 09:00:00,11.730246,1.2,11.770403,100.0,0.0
2023-04-12 10:00:00,12.860246,1.2,15.281989,100.0,0.0
2023-04-12 11:00:00,12.760245,2.3,13.104198,100.0,0.0
2023-04-12 12:00:00,12.670245,1.6,15.484185,100.0,0.0
2023-04-12 13:00:00,13.800245,1.2,17.0763,100.0,0.0
2023-04-12 14:00:00,13.800245,1.4,18.837324,98.0,0.6060612
2023-04-12 15:00:00,12.250245,0.9,17.884428,80.0,9.69697
2023-04-12 16:00:00,11.250245,0.8,14.277983,95.0,12.4242413
2023-04-12 17:00:00,10.630245,0.6,15.315873,97.0,11.2121224
2023-04-12 18:00:00,9.870245,0.2,11.808878,97.0,14.2121224
2023-04-12 19:00:00,9.480246,1.3,14.57889,95.0,0.67676735
2023-04-12 20:00:00,9.200245,0.3,16.854767,91.0,0.0
2023-04-12 21:00:00,8.460245,0.3,17.811815,77.0,0.0
2023-04-12 22:00:00,7.5702453,0.2,15.0038395,63.0,0.0
2023-04-12 23:00:00,7.170245,0.1,13.783817,52.0,0.0
2023-04-13 00:00:00,6.920245,0.0,13.044722,26.0,0.0
2023-04-13 01:00:00,6.3902454,0.0,12.538134,10.0,0.0
2023-04-13 02:00:00,6.2402453,0.0,12.031756,29.0,0.0
2023-04-13 03:00:00,5.9702454,0.0,12.261157,49.0,0.0
2023-04-13 04:00:00,5.8102455,0.0,12.218805,73.0,0.0
2023-04-13 05:00:00,5.9302454,0.0,12.031756,79.0,3.2390578
2023-04-13 06:00:00,6.190245,0.0,12.599998,88.0,6.666666
2023-04-13 07:00:00,7.0802455,0.0,14.003028,92.0,4.242425
2023-04-13 08:00:00,7.980245,0.1,16.92383,66.0,19.999998
2023-04-13 09:00:00,8.580245,0.0,16.071491,40.0,35.757576
2023-04-13 10:00:00,8.860246,0.0,13.849477,50.0,29.69697
